MAG_run_accession	ASV_run_accession	SAMPLEID
ERR1700889	ERR562617	TARA_039_SRF_180-2000
ERR1700890	ERR562393	TARA_041_SRF_5-20
ERR1700894	ERR562464	TARA_009_DCM_5-20
ERR1700895	ERR562594	TARA_011_SRF_5-20
ERR1700896	ERR562592	TARA_020_SRF_5-20
ERR1700897	ERR562433	TARA_098_DCM_5-20
ERR1700899	ERR562666	TARA_039_SRF_5-20
ERR1700900	ERR562367	TARA_004_DCM_5-20
ERR1700903	ERR562723	TARA_100_DCM_5-20
ERR1700904	ERR562569	TARA_036_DCM_5-20
ERR1700905	ERR562433	TARA_098_DCM_5-20
ERR1700906	ERR562629	TARA_038_SRF_180-2000
ERR1700907	ERR562629	TARA_038_SRF_180-2000
ERR1700908	ERR562367	TARA_004_DCM_5-20
ERR1700909	ERR562583	TARA_048_SRF_180-2000
ERR1700911	ERR562622	TARA_102_DCM_180-2000
ERR1700912	ERR562623	TARA_041_DCM_5-20
ERR1700913	ERR562679	TARA_025_DCM_5-20
ERR1700914	ERR562591	TARA_038_SRF_20-180
ERR1726522	ERR562403	TARA_123_SRF_5-20
ERR1726526	ERR562693	TARA_039_DCM_180-2000
ERR1726527	ERR562380	TARA_100_DCM_0.8->
ERR1726533	ERR562625	TARA_124_SRF_5-20
ERR1726537	ERR562424	TARA_032_DCM_180-2000
ERR1726540	ERR562439	TARA_022_SRF_5-20
ERR1726541	ERR562379	TARA_098_SRF_180-2000
ERR1726542	ERR562394	TARA_004_SRF_5-20
ERR1726546	ERR562675	TARA_022_SRF_20-180
ERR1726550	ERR562589	TARA_100_DCM_180-2000
ERR1726552	ERR562579	TARA_111_DCM_180-2000
ERR1726554	ERR562486	TARA_036_DCM_20-180
ERR1726555	ERR562427	TARA_018_SRF_5-20
ERR1726556	ERR562568	TARA_122_SRF_0.8->
ERR1726557	ERR562712	TARA_009_DCM_180-2000
ERR1726561	ERR562637	TARA_123_SRF_180-2000
ERR1726563	ERR562370	TARA_109_DCM_20-180
ERR1726563	ERR562598	TARA_109_DCM_20-180
ERR1726564	ERR562518	TARA_124_SRF_0.8->
ERR1726565	ERR562624	TARA_076_DCM_180-2000
ERR1726567	ERR562461	TARA_111_SRF_0.8->
ERR1726568	ERR562691	TARA_032_DCM_20-180
ERR1726569	ERR562518	TARA_124_SRF_0.8->
ERR1726571	ERR562625	TARA_124_SRF_5-20
ERR1726574	ERR562366	TARA_026_SRF_180-2000
ERR1726578	ERR562711	TARA_034_DCM_180-2000
ERR1726584	ERR562544	TARA_111_DCM_0.8->
ERR1726585	ERR562570	TARA_018_DCM_5-20
ERR1726587	ERR562609	TARA_039_SRF_20-180
ERR1726588	ERR562506	TARA_100_SRF_20-180
ERR1726597	ERR562590	TARA_011_SRF_0.8-5
ERR1726599	ERR562423	TARA_042_SRF_20-180
ERR1726601	ERR562491	TARA_124_SRF_20-180
ERR1726603	ERR562597	TARA_098_DCM_20-180
ERR1726606	ERR562692	TARA_122_DCM_20-180
ERR1726607	ERR562416	TARA_076_DCM_20-180
ERR1726608	ERR562509	TARA_124_SRF_180-2000
ERR1726609	ERR562380	TARA_100_DCM_0.8->
ERR1726610	ERR562691	TARA_032_DCM_20-180
ERR1726613	ERR562675	TARA_022_SRF_20-180
ERR1726618	ERR562708	TARA_025_DCM_180-2000
ERR1726622	ERR562586	TARA_123_SRF_20-180
ERR1726623	ERR562589	TARA_100_DCM_180-2000
ERR1726624	ERR562610	TARA_100_SRF_180-2000
ERR1726626	ERR562468	TARA_076_SRF_5-20
ERR1726628	ERR562574	TARA_102_SRF_0.8->
ERR1726630	ERR562531	TARA_068_DCM_180-2000
ERR1726633	ERR562406	TARA_042_DCM_0.8-5
ERR1726634	ERR562460	TARA_100_SRF_0.8->
ERR1726639	ERR562506	TARA_100_SRF_20-180
ERR1726642	ERR562727	TARA_011_SRF_20-180
ERR1726643	ERR562437	TARA_125_SRF_0.8->
ERR1726646	ERR562412	TARA_045_SRF_20-180
ERR1726649	ERR562554	TARA_064_SRF_180-2000
ERR1726652	ERR562522	TARA_041_SRF_180-2000
ERR1726655	ERR562676	TARA_100_DCM_20-180
