Kingdom	Supergroup	Division	Class	Order	Family	Genus	Species
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Clausocalanus	Clausocalanus_furcatus
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Neocalanus	Neocalanus_cristatus
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Delibus	Delibus_nudus
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Collodaria	Collosphaeridae	Acrosphaera	Acrosphaera_sp.
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Calocalanus	Calocalanus_minutus
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Oithona	Oithona_sp.
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Acrocalanus	Acrocalanus_gracilis
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Acrocalanus	Acrocalanus_sp.
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Collodaria	Collosphaeridae	Collosphaera	Collosphaera_tuberosa
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Collodaria	Collosphaeridae	NA	NA
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Collodaria	Collosphaeridae	Siphonosphaera	Siphonosphaera_abyssi
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Delibus	Delibus_sp.
Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Appendicularia	Oikopleura	Oikopleura_dioica
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Calocalanus	Calocalanus_sp.
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Temora	NA
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium	Gymnodinium_aureolum
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Collodaria	Sphaerozoidae	Collozoum	Collozoum_amoeboides
Eukaryota	Opisthokonta	Metazoa	Cnidaria	Cnidaria_X	Hydrozoa	Sulculeolaria	Sulculeolaria_quadrivalvis
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Corycaeus	Corycaeus_speciosus
Eukaryota	NA	NA	NA	NA	NA	NA	NA
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	Prorocentrum_micans
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	NA	NA
Eukaryota	Rhizaria	Radiolaria	NA	NA	NA	NA	NA
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Metridia	Metridia_longa
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Acartia	Acartia_longiremis
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Collodaria	Sphaerozoidae	NA	NA
Eukaryota	Opisthokonta	Fungi	Basidiomycota	Ustilaginomycotina	Ustilaginomycetes	Ustilago	Ustilago_maydis
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Collodaria	Collophidiidae	Collophidium	Collophidium_ellipsoides
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Paracalanus	Paracalanus_parvus
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	NA	NA	NA
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Paracalanus	Paracalanus_sp.
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Collodaria	NA	NA	NA
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Collodaria	Sphaerozoidae	Thalassicolla	Thalassicolla_melacapsa
Eukaryota	Excavata	Discoba	Euglenozoa	Diplonemea	DSPD-1	DSPD-1_X	DSPD-1_X_sp.
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Amphidiniopsidaceae	Islandinium	Islandinium_tricingulatum
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Malacostraca	Vibilia	Vibilia_armata
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_fusiforme
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Euchaeta	NA
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Calocalanus	Calocalanus_plumulosus
Eukaryota	Stramenopiles	Ochrophyta	Pelagophyceae	Pelagomonadales	Pelagomonadaceae	Pelagomonas	Pelagomonas_calceolata
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	NA	NA	NA
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Karlodinium_veneficum
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophysiales	Oxyphysiaceae	Phalachroma	NA
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Malacostraca	Meganyctiphanes	Meganyctiphanes_norvegica
Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Hemiaulus	Hemiaulus_sinensis
Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Mecynocera	Mecynocera_clausi
Eukaryota	Alveolata	Ciliophora	Oligohymenophorea	Scuticociliatia_1	Pseudocohnilembidae	Pseudocohnilembus	Pseudocohnilembus_persalinus
